query,group,time,value
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:00.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:01.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:02.000Z,0
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:03.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:04.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:05.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:06.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:07.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:08.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:09.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:10.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:11.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:12.000Z,0
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:13.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:14.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:15.000Z,0
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:16.000Z,0
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:17.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:18.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:19.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:20.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:21.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:22.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:23.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:24.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:25.000Z,0
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:26.000Z,0
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:27.000Z,0
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:28.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:29.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:30.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:31.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:32.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:33.000Z,0
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:34.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:35.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:36.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:37.000Z,0
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:38.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:39.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:40.000Z,0
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:41.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:42.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:43.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:44.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:45.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:46.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:47.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:48.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:49.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:50.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:51.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:52.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:53.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:54.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:55.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:56.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:57.000Z,0
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:58.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:12:59.000Z,0
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:13:00.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:13:01.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:13:02.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:13:03.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:13:04.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:13:05.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:13:06.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:13:07.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:13:08.000Z,2
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:13:09.000Z,1
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:13:10.000Z,0
"sum:task_poll{*}.as_count()",tasktype:http,2025-01-20T02:13:11.000Z,1
