query,group,time,value
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:18.000Z,1237.2
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:19.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:20.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:21.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:22.000Z,5277.8
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:23.000Z,5415.6
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:24.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:25.000Z,7277.095238
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:26.000Z,7448.636364
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:27.000Z,8533.375
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:28.000Z,9511.333333
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:29.000Z,10503
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:30.000Z,11433.875
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:31.000Z,11813.705882
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:32.000Z,13087
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:33.000Z,13934
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:34.000Z,15196
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:35.000Z,15234.6875
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:36.000Z,16220.285714
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:37.000Z,17714
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:38.000Z,18130.8
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:39.000Z,18970.5
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:40.000Z,19796.222222
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:41.000Z,20501.5
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:42.000Z,21311.375
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:43.000Z,22437
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:44.000Z,23454.5
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:45.000Z,23880
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:46.000Z,24923
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:47.000Z,25732.454545
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:48.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:49.000Z,27709.8
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:50.000Z,28224.5
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:51.000Z,29378.5
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:52.000Z,29909.333333
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:53.000Z,31279
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:54.000Z,31646.375
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:55.000Z,32779.083333
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:56.000Z,33554
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:57.000Z,34463.545455
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:58.000Z,35481
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:14:59.000Z,35669.5
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:00.000Z,37432.666667
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:01.000Z,38234.333333
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:02.000Z,38472.55
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:03.000Z,40594
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:04.000Z,41037.6
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:05.000Z,41276
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:06.000Z,41794.1
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:07.000Z,42756.464286
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:08.000Z,44631
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:09.000Z,44606
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:10.000Z,45588.888889
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:11.000Z,46448
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:12.000Z,47050.777778
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:13.000Z,47890.5
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:14.000Z,49089
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:15.000Z,49799.666667
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:16.000Z,50428.6875
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:17.000Z,51457
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:18.000Z,52058.823529
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:19.000Z,52789
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:20.000Z,54030
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:21.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:22.000Z,55968.041667
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:23.000Z,56878.7
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:24.000Z,57480.733333
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:25.000Z,57676.916667
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:26.000Z,58458.155556
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:27.000Z,58124.8
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:28.000Z,57904.714286
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:29.000Z,58252.888889
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:30.000Z,55588.083333
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:31.000Z,54816.9
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:32.000Z,54727.333333
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:33.000Z,56134
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:34.000Z,57591
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:35.000Z,56605.944444
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:36.000Z,57171.5
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:37.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:38.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:39.000Z,57259.2
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:40.000Z,55432.235294
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:41.000Z,55670
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:42.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:43.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:http,2025-01-20T02:15:44.000Z,57908.111111
