query,group,time,value
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:26:00.000Z,57562.76
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:26:05.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:26:10.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:26:15.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:26:20.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:26:25.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:26:30.000Z,50489.4
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:26:35.000Z,52037.6
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:26:40.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:26:45.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:26:50.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:26:55.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:27:00.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:27:05.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:27:10.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:27:15.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:27:20.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:27:25.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:27:30.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:27:35.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:27:40.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:27:45.000Z,40020.733333
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:27:50.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:27:55.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:28:00.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:28:05.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:28:10.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_http_saga_wf,2025-01-20T02:28:15.000Z,0
