query,group,time,value
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-20T17:42:54.000Z,75728.513394
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-20T17:43:09.000Z,75743.632807
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-20T17:43:24.000Z,79287.854232
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-20T17:43:39.000Z,78943.699244
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-20T17:43:54.000Z,78039.286081
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-20T17:44:09.000Z,77695.118978
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-20T17:44:24.000Z,1021397.421385
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-20T17:44:39.000Z,583779.05406
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-20T17:44:54.000Z,436334.539376
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-20T17:45:09.000Z,477238.398064
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-20T17:45:24.000Z,567992.412834
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-20T17:45:39.000Z,563716.571633
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-20T17:45:54.000Z,467488.184158
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-20T17:46:09.000Z,455707.062713
