query,group,time,value
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:16.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:17.000Z,587.25
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:18.000Z,1334.5
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:19.000Z,2272.9
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:20.000Z,3816
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:21.000Z,3922.5
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:22.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:23.000Z,6384.25
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:24.000Z,7341.846154
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:25.000Z,7915.4
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:26.000Z,8411.8
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:27.000Z,9084.4
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:28.000Z,10500.333333
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:29.000Z,10691.5
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:30.000Z,11855
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:31.000Z,13198.4
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:32.000Z,14432.666667
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:33.000Z,14609.5
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:34.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:35.000Z,16841
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:36.000Z,17949
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:37.000Z,19034
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:38.000Z,20242.2
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:39.000Z,20323
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:40.000Z,21157.833333
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:41.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:42.000Z,22599.666667
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:43.000Z,23717
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:44.000Z,24789
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:45.000Z,25842
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:46.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:47.000Z,28081.571429
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:48.000Z,29351
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:49.000Z,29451.333333
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:50.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:51.000Z,31614.5
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:52.000Z,32876.666667
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:53.000Z,34240.5
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:54.000Z,34475.705882
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:55.000Z,35499
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:56.000Z,35672.833333
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:57.000Z,37157.2
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:58.000Z,37732.666667
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:44:59.000Z,39077
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:45:00.000Z,40252
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:45:01.000Z,40383.333333
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:45:02.000Z,41523
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:45:03.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:45:04.000Z,43612
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-20T17:45:05.000Z,44675
