query,group,time,value
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:49:30.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:49:40.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:49:50.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:50:00.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:50:10.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:50:20.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:50:30.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:50:40.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:50:50.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:51:00.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:51:10.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:51:20.000Z,1113.9
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:51:30.000Z,8384.7
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:51:40.000Z,19309.128333
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:51:50.000Z,28191.485
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:52:00.000Z,37326.391667
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:52:10.000Z,46593.209487
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:52:20.000Z,55092.103182
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:52:30.000Z,57437.325595
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:52:40.000Z,73070.966667
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:52:50.000Z,90964.735
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:53:00.000Z,71518.111212
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:53:10.000Z,99954.050952
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:53:20.000Z,108286.633333
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:53:30.000Z,105210.8
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:53:40.000Z,112208.385417
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:53:50.000Z,0
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:54:00.000Z,15638
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:54:10.000Z,136194.598315
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:54:20.000Z,162365.908333
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:54:30.000Z,151442.129762
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:54:40.000Z,199859.993333
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:54:50.000Z,147535.025
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:55:00.000Z,219715.160714
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:55:10.000Z,138063.173333
"avg:workflow_execution.avg{*}",workflowname:travel_booking_worker_saga_wf,2025-01-21T01:55:20.000Z,215589.586667
