query,group,time,value
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:49:00.000Z,48
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:49:10.000Z,49
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:49:20.000Z,49
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:49:30.000Z,49
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:49:40.000Z,49
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:49:50.000Z,49
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:50:00.000Z,49
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:50:10.000Z,49
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:50:20.000Z,49
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:50:30.000Z,49
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:50:40.000Z,49
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:50:50.000Z,49
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:51:00.000Z,49
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:51:10.000Z,50
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:51:20.000Z,19
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:51:30.000Z,14
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:51:40.000Z,23
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:51:50.000Z,23
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:52:00.000Z,34
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:52:10.000Z,37
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:52:20.000Z,27
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:52:30.000Z,24
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:52:40.000Z,27
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:52:50.000Z,27
"sum:task_poll{*}.as_count()",tasktype:book_flight,2025-01-21T01:53:00.000Z,30
