query,group,time,value
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-21T03:05:48.000Z,80949.142611
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-21T03:06:04.000Z,176226.671504
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-21T03:06:18.000Z,1144456.699377
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-21T03:06:34.000Z,522227.731382
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-21T03:06:48.000Z,401753.696832
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-21T03:07:04.000Z,488501.941772
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-21T03:07:18.000Z,529171.701129
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-21T03:07:34.000Z,397842.568923
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-21T03:07:48.000Z,473697.883021
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-21T03:08:04.000Z,388368.920438
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-21T03:08:18.000Z,448124.797553
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-21T03:08:34.000Z,396563.413137
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-21T03:08:48.000Z,586379.770171
"avg:container.net.sent{container_name:server-hotel OR container_name:server-flight OR container_name:conductor-server}",container_name:conductor-server,2025-01-21T03:09:04.000Z,470236.222561
