query,group,time,value
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:05:36.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:05:38.000Z,9
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:05:40.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:05:42.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:05:44.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:05:46.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:05:48.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:05:50.000Z,9
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:05:52.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:05:54.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:05:56.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:05:58.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:00.000Z,9
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:02.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:04.000Z,9
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:06.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:08.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:10.000Z,9
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:12.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:14.000Z,7
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:16.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:18.000Z,6
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:20.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:22.000Z,6
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:24.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:26.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:28.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:30.000Z,4
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:32.000Z,8
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:34.000Z,8
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:36.000Z,8
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:38.000Z,10
"sum:task_poll{*}.as_count()",tasktype:cancel_flight_booking,2025-01-21T03:06:40.000Z,7
