query,group,time,value
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:13:10.000Z,0
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:13:20.000Z,0
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:13:30.000Z,0
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:13:40.000Z,0
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:13:50.000Z,0
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:14:00.000Z,0
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:14:10.000Z,0
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:14:20.000Z,0
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:14:30.000Z,125.5
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:14:40.000Z,84.2
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:14:50.000Z,78.06
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:15:00.000Z,432.8
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:15:10.000Z,502.21
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:15:20.000Z,441.849444
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:15:30.000Z,381.983333
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:15:40.000Z,503.933333
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:15:50.000Z,414.875
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:16:00.000Z,581.871667
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:16:10.000Z,348.109524
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:16:20.000Z,561.156667
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:16:30.000Z,635.133333
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:16:40.000Z,509.886667
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:16:50.000Z,261.166667
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:17:00.000Z,449.65
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:17:10.000Z,413.525641
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:17:20.000Z,377.05
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:17:30.000Z,862.359524
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:17:40.000Z,1207.53381
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:17:50.000Z,1092.283333
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:18:00.000Z,1152.483333
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:18:10.000Z,862.253333
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:18:20.000Z,869.705556
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:18:30.000Z,831.891667
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:18:40.000Z,577.516667
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:18:50.000Z,921.058333
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:19:00.000Z,796.738939
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:19:10.000Z,1218.389167
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:19:20.000Z,1963.6
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:19:30.000Z,535.3
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:19:40.000Z,1158.3375
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:19:50.000Z,682.8
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:20:00.000Z,696.064762
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:20:10.000Z,306.383333
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:20:20.000Z,484.666667
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:20:30.000Z,421.483333
"avg:workflow_execution.avg{*}",workflowname:compensate_travel_booking_workflow,2025-01-21T03:20:40.000Z,612.443333
