query,group,time,value
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:13:10.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:13:20.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:13:30.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:13:40.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:13:50.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:14:00.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:14:10.000Z,0
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:14:20.000Z,291.8
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:14:30.000Z,4437.3
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:14:40.000Z,12870.066667
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:14:50.000Z,12144
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:15:00.000Z,19509.7
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:15:10.000Z,39458.5
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:15:20.000Z,35748.134286
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:15:30.000Z,41424.077778
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:15:40.000Z,55668.15
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:15:50.000Z,71472.05
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:16:00.000Z,69142.975
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:16:10.000Z,54393.654286
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:16:20.000Z,60218.336667
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:16:30.000Z,78253.666667
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:16:40.000Z,97390.641429
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:16:50.000Z,75243.6
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:17:00.000Z,79808.7
"sum:task_queue_wait.avg{*}",tasktype:book_flight,2025-01-21T03:17:10.000Z,84544.583333
